sunlight_hours_per_day,water_ml_per_day,fertilizer_g_per_week,plant_height_cm_after_30days
5.0,488.0,1.6,42.6
9.6,410.0,13.1,60.88
7.9,476.0,7.0,54.05
6.8,458.0,10.7,49.95
3.2,339.0,18.2,47.94
3.2,469.0,5.7,43.27
2.5,135.0,8.8,27.41
8.9,178.0,15.4,45.74
6.8,118.0,5.3,36.35
7.7,230.0,2.5,33.54
2.2,255.0,6.5,30.21
9.8,209.0,4.1,49.8
8.7,431.0,18.7,60.29
3.7,243.0,16.4,37.82
3.5,212.0,13.0,35.05
3.5,317.0,17.6,42.17
4.4,156.0,16.3,32.19
6.2,421.0,4.5,45.36
5.5,130.0,18.0,36.46
4.3,495.0,11.2,50.88
6.9,409.0,16.3,52.98
3.1,179.0,18.0,40.75
4.3,102.0,7.0,24.1
4.9,426.0,3.1,40.06
5.6,383.0,5.3,44.83
8.3,392.0,9.1,48.94
3.6,409.0,16.5,48.33
6.1,130.0,17.4,44.59
6.7,243.0,1.1,29.96
2.4,146.0,10.7,27.41
6.9,445.0,8.9,52.4
3.4,349.0,5.2,37.46
2.5,232.0,3.3,21.78
9.6,125.0,7.4,37.21
9.7,224.0,18.9,57.14
8.5,230.0,7.1,44.32
4.4,392.0,10.9,45.07
2.8,355.0,14.4,42.31
7.5,455.0,7.9,50.78
5.5,289.0,19.5,49.5
3.0,148.0,19.3,36.22
6.0,385.0,5.8,41.75
2.3,404.0,10.4,44.87
9.3,325.0,6.7,51.28
4.1,408.0,6.4,37.2
7.3,298.0,1.7,41.48
4.5,309.0,12.6,38.86
6.2,271.0,10.6,44.89
6.4,110.0,2.0,31.58
3.5,143.0,6.3,23.48
