Screen_Time_Hours,Sleep_Duration_Hours
5.12,6.46
11.46,4.0
9.05,5.2
7.59,6.61
2.72,8.45
2.72,7.39
1.64,8.92
10.53,4.57
7.61,5.74
8.79,5.85
1.23,9.46
11.67,4.71
10.16,4.51
3.34,7.84
3.0,8.32
3.02,8.63
4.35,7.3
6.77,6.36
5.75,6.36
4.2,7.01
7.73,6.43
2.53,9.04
4.21,7.57
5.03,7.74
6.02,6.97
9.64,4.84
3.2,8.24
6.66,7.27
7.52,6.1
1.51,9.6
7.68,4.73
2.88,8.61
1.72,8.77
11.44,4.2
11.62,4.32
9.89,4.06
4.35,7.43
2.07,8.75
8.53,6.4
5.84,6.61
2.34,8.04
6.45,6.35
1.38,9.34
11.0,4.71
3.85,7.5
8.29,6.03
4.43,7.56
6.72,6.96
7.01,5.99
3.03,7.97
11.67,4.05
9.53,4.48
11.33,4.55
10.84,4.75
7.58,6.09
11.14,4.37
1.97,7.91
3.16,7.87
1.5,8.65
4.58,7.04
